+Requests: 210
req0;z10;3;715;427;car9,car6,car4,car2,car40,car0,car42,car33,car34,car24,car35,car13,car14,car17;430;85
req1;z1;2;979;190;car8,car6,car7,car5,car30,car32,car33,car11,car34,car12,car13,car15,car37,car38,car16,car39,car18,car40,car41,car42,car20,car0,car21,car22,car27,car28;190;40
req2;z21;3;707;394;car8,car4,car30,car10,car32,car33,car11,car34,car15,car37,car16,car39,car17,car18,car19,car2,car20,car42,car21,car43,car22,car23,car24,car25,car26,car27;390;80
req3;z17;0;682;431;car8,car9,car7,car41,car0,car20,car10,car33,car22,car23,car12,car24,car35,car36,car37,car26,car28,car29,car19;430;85
req4;z16;1;540;316;car10,car15,car38,car7;320;65
req5;z4;0;511;472;car8,car7,car4,car5,car31,car32,car10,car33,car11,car12,car34,car35,car36,car37,car38,car16,car17,car39,car18,car19,car40,car2,car3,car41,car20,car1,car21,car22,car23,car24,car25,car26,car27,car28;470;95
req6;z23;3;656;443;car8,car4,car2,car41,car30,car42,car33,car12,car23,car35,car24,car36,car14,car26,car16,car27,car17,car39,car19;440;90
req7;z14;1;571;389;car8,car9,car6,car7,car4,car5,car30,car31,car10,car32,car33,car11,car34,car12,car13,car35,car36,car14,car15,car37,car16,car38,car39,car17,car18,car19,car40,car2,car41,car3,car0,car42,car1,car21,car43,car22,car24,car25,car27,car28,car29;390;80
req8;z12;2;521;448;car21,car17;450;90
req9;z0;1;582;355;car8,car6,car7,car4,car5,car30,car31,car32,car10,car11,car33,car12,car13,car35,car14,car36,car15,car37,car16,car39,car17,car40,car3,car41,car0,car20,car1,car21,car25,car27,car28,car29;360;70
req10;z4;1;622;474;car8,car9,car6,car7,car4,car5,car30,car31,car10,car33,car11,car34,car12,car35,car13,car36,car37,car38,car39,car19,car40,car3,car41,car20,car0,car21,car1,car23,car24,car26,car27,car28,car29;470;95
req11;z18;3;546;451;car8,car9,car6,car7,car4,car5,car30,car31,car10,car33,car11,car34,car35,car13,car36,car14,car15,car38,car16,car39,car19,car2,car40,car41,car3,car0,car42,car20,car21,car1,car23,car24,car25,car26,car27,car28,car29;450;90
req12;z3;2;562;398;car8,car6,car7,car4,car10,car32,car11,car33,car12,car13,car35,car14,car36,car15,car37,car16,car18,car40,car3,car42,car20,car1,car21,car22,car23,car24,car25,car29;400;80
req13;z1;2;716;396;car6,car7,car4,car3,car30,car42,car0,car1,car43,car11,car13,car36,car37,car17;400;80
req14;z15;0;634;340;car8,car9,car6,car4,car5,car30,car31,car10,car33,car11,car12,car13,car35,car14,car36,car38,car17,car39,car18,car19,car40,car41,car3,car42,car0,car20,car1,car22,car23,car25,car26,car27,car28,car29;340;70
req15;z2;0;706;318;car3,car23,car34,car24,car14,car37,car15;320;65
req16;z23;0;686;456;car0,car10,car11,car13,car37,car16,car9;460;90
req17;z4;0;793;291;car8,car9,car6,car4,car5,car30,car31,car32,car10,car11,car33,car12,car13,car36,car14,car37,car15,car38,car17,car39,car18,car19,car40,car3,car0,car20,car1,car21,car43,car23,car24,car25,car28,car29;290;60
req18;z23;2;542;283;car8,car7,car41,car3,car31,car20,car10,car32,car22,car11,car34,car23,car14,car36,car15,car27,car16,car38,car39;280;55
req19;z8;1;803;382;car40,car13,car26,car27;380;75
req20;z14;2;694;311;car8,car9,car6,car5,car30,car31,car32,car10,car33,car12,car35,car13,car36,car14,car37,car15,car38,car16,car39,car18,car2,car3,car41,car21,car1,car22,car23,car24,car25,car26,car27,car28,car29;310;60
req21;z12;3;724;207;car1,car33,car11,car12,car27,car39,car5;210;40
