+Requests: 100
req0;z10;3;715;427;car10,car11,car14,car15,car8,car9,car18,car7,car5;430;85
req1;z12;1;519;269;car0,car1,car10,car13,car14,car16,car8,car4,car5;270;55
req2;z0;1;543;443;car0,car10,car12,car15,car16,car8,car9,car18,car6,car4;440;90
req3;z2;3;803;356;car8,car7,car5,car3,car0,car10,car1,car11,car12,car14,car15,car16,car18;360;70
req4;z12;1;645;288;car2,car1,car11,car12,car13,car14,car15,car17,car9,car18,car7,car4;290;60
req5;z3;2;512;247;car3,car0,car10,car11,car14,car15,car17,car9,car6,car7,car4,car5;250;50
req6;z0;0;661;375;car0,car11,car8;380;75
req7;z13;3;595;291;car10,car15,car8,car17,car9,car18;290;60
req8;z17;3;485;377;car2,car7,car4,car5;380;75
req9;z24;1;694;237;car8,car9,car6,car7,car4,car5,car2,car3,car0,car1,car10,car11,car12,car13,car14,car15,car17,car18;240;50
req10;z17;3;614;425;car2,car14,car17,car7;430;85
req11;z13;4;554;180;car2,car0,car1,car11,car12,car15,car8,car17,car6,car5;180;35
req12;z8;4;579;366;car0,car13,car15,car17,car8,car5;370;75
req13;z1;2;760;319;car2,car3,car10,car11,car13,car16,car17,car9,car6,car7,car4,car5;320;65
req14;z24;3;726;422;car11,car12,car16,car17;420;85
req15;z17;4;541;186;car2,car0,car1,car12,car14,car8,car4;190;40
req16;z11;1;677;256;car8,car9,car6,car7,car4,car5,car2,car3,car1,car11,car12,car13,car14,car16,car17,car18;260;50
req17;z23;3;699;290;car8,car6,car7,car4,car5,car10,car11,car12,car14,car15,car16,car17,car18;290;60
req18;z12;2;521;448;car2,car0,car1,car10,car11,car12,car13,car15,car16,car8,car17,car4;450;90
req19;z18;2;531;308;car3,car11,car12,car13,car14,car15,car16,car17,car9,car6,car7,car4;310;60
req20;z23;3;700;384;car1,car6,car4;380;75
req21;z15;3;670;369;car8,car6,car7,car4,car5,car2,car0,car10,car1,car11,car13,car14,car15,car16,car17,car18;370;75
req22;z21;1;825;255;car0,car1,car10,car11,car12,car14,car15,car17,car9,car18,car7;260;50
req23;z17;1;852;291;car8,car6,car4,car5,car3,car10,car11,car12,car13,car14,car15,car17,car18;290;60
req24;z14;2;638;424;car2,car3,car1,car11,car12,car13,car8,car9,car18,car6,car4,car5;420;85
req25;z9;3;587;457;car13,car7;460;90
req26;z15;4;694;329;car8,car9,car6,car7,car4,car5,car2,car3,car0,car1,car10,car11,car12,car14,car17,car18;330;65
req27;z9;2;559;375;car3,car0,car7;380;75
req28;z1;3;580;233;car2,car0,car11,car12,car13,car15,car6,car4,car5;230;45
req29;z0;1;515;237;car1,car13,car8,car18,car9;240;50
req30;z13;2;545;455;car2,car3,car0,car1,car11,car15,car8,car18,car9,car6,car4;460;90
req31;z5;0;896;252;car3,car0,car12,car13,car14,car8,car9,car18,car6,car7,car5;250;50
req32;z22;4;740;428;car8,car9,car6,car7,car4,car5,car2,car3,car0,car10,car1,car11,car12,car13,car14,car16,car17,car18;430;85
req33;z0;4;625;223;car8,car9,car6,car7,car4,car5,car2,car3,car0,car10,car1,car11,car12,car14,car15,car16,car17,car18;220;45
req34;z18;0;805;258;car2,car3,car12,car17,car8,car18,car4;260;50
req35;z17;1;909;256;car2,car0,car10,car11,car12,car16,car18,car6;260;50
req36;z12;4;690;472;car8,car9,car6,car7,car4,car5,car2,car3,car0,car10,car1,car11,car14,car16,car17,car18;470;95
req37;z19;3;484;411;car10,car1,car12,car14,car16,car8,car9,car6,car5;410;80
req38;z24;3;759;375;car2,car3,car11,car13,car14,car17,car18,car6,car4;380;75
req39;z8;1;803;382;car1,car15,car18,car6;380;75
req40;z14;2;694;311;car2,car10,car1,car11,car14,car8,car9,car4,car5;310;60
req41;z23;2;908;192;car8,car6;190;40
req42;z5;2;694;356;car1,car11,car6,car5;360;70
req43;z21;0;819;217;car2,car0,car10,car11,car15,car16,car9,car6,car5;220;45
req44;z8;1;694;403;car3,car0,car10,car1,car13,car16,car17,car9,car4,car5;400;80
req45;z2;2;873;293;car0,car12,car8,car17,car4;290;60
req46;z4;1;738;457;car3,car0,car14,car8,car9,car6,car7,car5;460;90
req47;z3;3;566;352;car3,car11,car13,car14,car8,car17,car4,car5;350;70
req48;z22;4;884;250;car1,car14;250;50
req49;z11;3;957;231;car2,car0,car10,car11,car12,car13,car14,car15,car8,car18,car6,car4;230;45
req50;z19;1;667;464;car11,car12,car15,car16,car8,car18;460;90
